Platform,Organization,Space,"App Name","Build Pack","Build Pack Version",SDK,"Spring Boot",Angular,React,Dependencies
vp01,org_1,prod,"535bfc65-a61b-4298-9907-3ab623fdf894",python,1.7.39,,,,,
vp01,org_2,iso,"06d30f59-8b70-4f13-ae0a-f34b0bdd7f7f",java,4.63.0,1.8.0_392,2.2.0.RELEASE,,,
vp01,org_3,prod,"0ee396d7-f779-40e3-a81e-5b24dd8a0055",java,4.74.0,17.0.13,3.1.5,,,
vp01,org_4,iso,"da7a3b33-d8f2-44af-97e4-b893a1dfef45",dotnet-core,8.0.303,net6.0,,,,
vp01,org_4,iso,"0ca6530a-6613-4471-8a19-14dc002978d0",dotnet-core,8.0.303,net6.0,,,,
vp01,org_4,iso,"56781b1b-5da5-4878-a5ef-c030fd457fe5",nginx,1.2.19,,,,,
vp01,org_4,iso,"d2bba1ec-ebe2-40ab-baa9-bb5ec03f3790",nginx,1.2.16,,,,,
vp01,org_5,iso,"f00c9229-b84d-420e-9119-b07dd7cdda43",nodejs,1.7.8,,,,,
vp01,org_5,iso,"9acd24f9-9744-4206-aac7-4033aa8ea279",java,4.74.0,1.8.0_432,2.3.4.RELEASE,,,
vp01,org_5,iso,"44b4e1da-4439-4eeb-8544-1e43eecd0e77",java,4.61.0,1.8.0_392,2.6.7,,,
vp01,org_5,prod,"f00c9229-b84d-420e-9119-b07dd7cdda43",nodejs,1.7.8,,,,,
vp01,org_5,prod,"a02f3a9b-f9be-431e-9432-235fb34c81e5",nodejs,1.7.12,,,,,
vp01,org_5,prod,"af61252b-2bbd-424b-84cc-887f8a1adc57",python,1.8.29,3.12.x,,,,
vp01,org_5,prod,"e0f4cc16-16c4-4e93-ac18-6f6ca9b42e5d",python,1.8.29,3.12.x,,,,
vp01,org_5,prod,"f1ddc887-8483-459d-b00a-ada608a7e3ea",python,1.8.29,3.12.x,,,,
vp01,org_5,prod,"4167606c-274a-4c55-be6a-31fd18886549",python,1.8.29,3.12.x,,,,
vp01,org_5,prod,"59754aa7-296e-4ddd-85ae-45dc042335e5",python,1.8.29,3.12.x,,,,
vp01,org_5,prod,"6d22e59f-a13f-4dc9-9c67-a4b89ed44c1a",python,1.8.29,3.12.x,,,,
vp01,org_5,prod,"71dbbba0-b1f2-4d86-9c0e-13fcb250dfc3",binary,1.0.39,,,,,
vp01,org_5,prod,"04889bf2-1436-4fad-b55c-020242889391",python,1.8.29,3.12.x,,,,
vp01,org_5,prod,"ec7f0410-a77d-4d7c-af05-f6ad6fae2c8c",python,1.8.29,3.12.x,,,,
vp01,org_5,prod,"435fd1d9-9f53-454f-9425-a7978ec85488",binary,1.0.39,,,,,
vp01,org_5,prod,"e9da4eda-2ee4-49a5-a9f7-10c27ed16758",python,1.7.24,3.6.11,,,,
vp01,org_5,prod,"0cec20e8-2292-458d-8595-e5e5cf0743f2",binary,1.1.13,,,,,
vp01,org_5,prod,"ae9e2206-6a4b-4019-abab-eea22fee30ea",python,1.8.28,3.8.x,,,,
vp01,org_5,prod,"1f9abfbb-3563-48a7-97e1-ad7768a71923",binary,1.0.42,,,,,
vp01,org_5,prod,"d36f524d-ddb5-4841-877b-1158ebabda28",python,1.7.49,3.6.x,,,,
vp01,org_5,prod,"06da4676-fcac-49e7-8ff6-37c5edf19e1b",nodejs,1.8.29,,,,,
vp01,org_5,prod,"056ab248-1be1-428c-9839-59e5ddc980f5",nodejs,1.8.27,18.20.3,,,,
vp01,org_5,prod,"bb7ab6dd-25ce-49db-bf53-a88fec5af6e1",go,1.9.17,1.13.15,,,,
vp01,org_5,prod,"65ce0623-c7ce-4fe7-a374-d28f7ee278a7",go,1.9.17,1.13.15,,,,
vp01,org_5,prod,"7522f18d-d670-4e7d-8d68-bfcf517f64ec",go,1.9.17,1.13.15,,,,
vp01,org_5,prod,"111cfe09-ef6d-4f46-9afc-a1814329f523",java,4.32.1,1.8.0_265,,,,
vp01,org_5,prod,"19319a5c-5504-41fc-afd5-af2ac969ab33",java,4.34,1.8.0_275,,,,
vp01,org_5,prod,"69756706-d1b8-471b-b54e-b7c94fb8eb8b",dotnet-core,3.1.201,netcoreapp3.1,,,,
vp01,org_5,prod,"e66dcefc-f422-4f32-b450-ac08299ff2e4",dotnet-core,3.1.201,netcoreapp3.1,,,,
vp01,org_5,prod,"cc73e1aa-eb49-43cf-8430-5516b885387a",binary,1.0.36,,,,,
vp01,org_5,prod,"3309a250-0053-47f1-b761-7f9647645ea1",nodejs,1.8.11,16.19.1,,,,
vp01,org_5,prod,"5abc1087-bc8d-4f23-b889-81e82afbe76e",java,4.61.0,1.8.0_392,2.6.7,,,
vp01,org_5,prod,"0a1f617c-c28a-496a-95fe-bda4770082b7",binary,1.0.36,,,,,
vp01,org_5,prod,"69a1a57d-6e67-4c77-9564-6cad43d5150f",binary,1.0.36,,,,,
vp01,org_5,prod,"fa880d97-3f99-43ff-916a-c762d71d16aa",java,4.63.1,1.8.0_392,,,,
vp01,org_5,prod,"85a6bdd9-d104-418e-b3c7-b6343742a13a",java,4.62.0,1.8.0_382,,,,
vp01,org_5,prod,"e4b72ed5-6db6-436e-936b-213b248583d5",java,4.62.0,1.8.0_382,,,,
vp01,org_5,prod,"9018116d-eb52-4d99-a846-1fc071131d92",java,4.62.0,1.8.0_382,,,,
vp01,org_5,prod,"98e31269-e0b6-4320-85d9-0ba6ac3688fa",java,4.62.0,1.8.0_382,,,,
vp01,org_5,prod,"711d5b9a-9f55-4450-a5ea-fc6abcdd51a6",java,4.62.0,1.8.0_382,,,,
vp01,org_5,prod,"1f524e93-070a-4333-9c1c-fd8c2e8f786a",python,1.7.22,3.6.11,,,,
vp01,org_5,prod,"0d34cbac-cc06-419c-91e7-9b7b2c7b6cff",binary,1.1.10,,,,,
vp01,org_5,prod,"baef8d8c-da12-4e65-b2b5-86b423387794",binary,1.0.36,,,,,
vp01,org_5,prod,"1b604412-5796-47be-ba66-966f8284950b",binary,1.0.38,,,,,
vp01,org_5,prod,"0316efca-00de-43ea-b387-85a423ba77d9",python,1.7.7,,,,,
vp01,org_5,prod,"f367e066-3678-474b-b413-1ebb4e742cf2",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"d0a0314e-ce62-41b0-aebe-8be8a8246b99",java,4.74.0,17.0.13,3.0.10,,,
vp01,org_5,prod,"24383ad0-d854-4380-a4c9-ca669ae9d8c6",java,4.74.0,17.0.13,2.6.6,,,
vp01,org_5,prod,"4e3d9236-51c2-4f5d-a40f-3c3ab3cd9ebc",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"1dee1007-b133-46d5-a9b2-f13d18c60d49",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"212262ed-31af-432d-b74e-962a0ed9995d",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"14bb65d9-e162-41c4-b382-4526bb24a718",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"c52ce4bb-55a6-41b1-b976-a2fa2b1b732a",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"bb4797d6-c3d0-4126-bbe3-2f6dd47c215c",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"c11d9df9-a71b-4c07-9ff3-0b77e8e96292",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"e99be5f7-52a8-4c4c-9cff-c960c238310d",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"ffcab365-9b3d-45bc-9119-4f9e582c87a4",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"f7d1f40f-0025-42ee-9611-c88639392676",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"c0e3c880-7ff3-4047-863d-70ac050c25d7",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"0527c17d-f852-4bfc-ba52-0d4fe0246246",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"ac3577d4-3297-4196-9cf4-23dee0e58417",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"d1163839-3acb-4a16-8037-017d7015cf31",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"b3e2982c-e7d3-4cd3-9b35-b89b336d4600",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"fc96e2e8-fdee-42f0-9ab6-2493f23e5a3b",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"ec363a4c-2cf6-45cb-a28b-89597dce211a",java,4.74.0,17.0.13,3.0.10,,,
vp01,org_5,prod,"e45ffb0b-4d6c-4037-b0e7-d6499c1b1972",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"52a8f853-3cf3-4582-a701-93df8bbeafc7",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"b7f4c38e-508f-42a0-8037-c6775c1c1182",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"5ef1ecbb-2a39-4cd8-b50d-ef106bf9af3a",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"dcec2e34-88d3-4178-91f4-3fb9f14f42cd",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"ff6e1079-374c-466a-9bfb-1a55c4a2242c",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"29db5d78-5926-4604-a20d-a20a67ba15ed",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"1801e76a-0007-42f7-9044-b0045899a438",java,4.73.0,17.0.12,3.0.10,,,
vp01,org_5,prod,"6a588c12-2e9f-4ec7-baea-1411f85a3449",python,1.7.5,,,,,
vp01,org_5,prod,"11c11a6b-c280-48e2-a6fd-da6aac9f2054",python,1.7.5,3.6.x,,,,
vp01,org_5,prod,"d6894e31-ff5f-4f71-aae1-263451b2903e",binary,1.0.42,,,,,
vp01,org_5,prod,"dca5e5a2-3038-4a68-9147-4c7543a0a344",nodejs,1.8.27,,,,,
vp01,org_5,prod,"2f3d2f09-2692-45fe-b406-0a2500d438c2",python,1.7.5,,,,,
vp01,org_5,prod,"5663dd97-795c-44b0-a390-29bb1832cab8",python,1.7.5,,,,,
vp01,org_5,prod,"99c28fc7-b41b-4a45-949b-999083c73af0",java,4.32.1,11.0.8,2.3.4.RELEASE,,,
vp01,org_5,prod,"a79bb1c8-b75b-4b53-a149-e3a3eaae2d1f",binary,1.0.38,,,,,
vp01,org_6,"credhub-service-broker-space","072db948-ef19-4f28-9657-08731a2da622",binary,1.1.10,,,,,
vp01,org_7,iso,"d06b4de3-5c6f-4a69-8f14-ffbf40dbb21f",java,4.67.1,17.0.10,2.3.3.RELEASE,,,
vp01,org_7,iso,"07d74c75-737e-439a-acb2-1086bced6675",java,4.61.0,1.8.0_382,2.3.3.RELEASE,,,
vp01,org_7,iso,"83684844-7080-4dc8-9fac-8a63301683a4",java,4.73.0,17.0.12,2.6.3,,,
vp01,org_7,iso,"a943cb93-cc13-4b6c-bb72-a796b00867e3",java,4.73.0,17.0.12,2.6.3,,,
vp01,org_7,iso,"e50d5770-d864-450e-8d7c-b704b355ab0c",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,iso,"cd3a5d9a-bd6d-4876-bcda-e4d3efc660b0",java,4.73.0,17.0.12,3.2.1,,,
vp01,org_7,iso,"2defadfd-0c92-475f-8319-0a7a0503209d",staticfile,1.6.11,,,,,
vp01,org_7,iso,"601cd0b6-6bf9-44f5-a25e-623e4d4e7015",staticfile,1.6.11,,,,,
vp01,org_7,iso,"994dfca2-a752-40e4-b2d9-b78e9f6450d6",nodejs,1.8.15,16.20.1,,,,
vp01,org_7,iso,"24e0c411-8077-48e1-8e33-927b85a9ee87",nodejs,1.8.15,16.20.1,,,,
vp01,org_7,iso,"fbfa677a-d7eb-45f9-b17a-5f7cae4cc45f",nodejs,1.8.15,16.20.1,,,,
vp01,org_7,prod,"02ae1e9e-420f-48ab-ac81-d22a43155e07",java,4.73.0,17.0.12,3.2.1,,,
vp01,org_7,prod,"7d1c8013-585b-45d6-ba04-3f9be9c93210",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,prod,"e965f28e-292e-4e1b-8299-bcc197fa8635",java,4.74.0,17.0.13,2.6.3,,,
vp01,org_7,prod,"3a1653d0-cd94-4086-97f0-1bd222df6064",java,4.74.0,17.0.13,2.6.3,,,
vp01,org_7,prod,"af5cf46d-3292-4aa7-8db0-1f92a7a7b76c",binary,1.1.13,,,,,
vp01,org_7,prod,"b8db3c80-610f-4992-9a56-0134619b1930",java,4.36,11.0.10,2.4.2,,,
vp01,org_7,prod,"aea1f82f-6c51-409b-99fe-7ade283f23a3",java,4.73.0,17.0.12,3.2.1,,,
vp01,org_7,prod,"438b9fff-4fcf-44b1-9e18-c0735b4fc894",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,prod,"8237bd41-9d66-45ae-b052-1fec2f4fa217",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,prod,"f5dccfd6-24b4-4a26-a16e-7d165925111c",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,prod,"3e6d0ee2-3e18-45fa-8814-843ed89ada3a",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,prod,"d0ccc894-e150-412a-834d-2dbe470b2745",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,prod,"153f95c4-c544-4b13-973f-76a380cc2c6b",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,prod,"19cd9419-17bc-44d2-ab71-7b37fbbe4157",nodejs,1.6.11,20.6.0,,,,
vp01,org_7,prod,"cc1aa8ee-0b0e-4193-877e-de66038ba300",java,4.73.0,17.0.12,3.3.1,,,
vp01,org_7,prod,"8fb9854b-c493-4e07-be95-cef3c6793538",java,4.74.0,21.0.5,3.3.3,,,
vp01,org_7,prod,"c4a54bb1-10eb-41d2-a670-64f14954dc84",java,4.74.0,21.0.5,3.3.3,,,
vp01,org_7,prod,"769c23fd-12bf-42c1-b64e-a89d2d3d3108",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_7,prod,"785a79ee-8aaf-455e-bebd-faf446c04344",java,4.74.0,17.0.13,3.2.1,,,
vp01,org_8,prod,"7f95d22b-4d6a-4f84-8110-1b0f80b3691a",java,4.74.0,17.0.13,2.7.4,,,
vp01,org_8,prod,"750860bf-60c5-48a5-88c0-13db847a7326",java,4.70.0,11.0.23,2.2.6.RELEASE,,,
vp01,org_8,prod,"17e99fc8-c278-49e9-9574-96d24f80ec40",java,4.70.0,11.0.23,2.3.0.RELEASE,,,
